epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.18368,0.1826,2.2165894508361816,2.214036703109741,0.24133443371701827,0.18915874948199318,0.2624,0.26085714285714284,0.16923428209005817,0.16848180152383813
2,0.2659,0.2729,1.9883809089660645,1.981407642364502,0.24848790901579948,0.252480191825668,0.2659,0.2729,0.2196674345881712,0.22494314981732372
3,0.3209,0.321,1.863396406173706,1.8635159730911255,0.3486612949247427,0.34785053235857966,0.3209,0.321,0.28178885129526177,0.2827716128274929
4,0.39942,0.395,1.6691128015518188,1.6735763549804688,0.4040110076051861,0.3988301862307497,0.39942,0.395,0.37127245075560145,0.366577492944962
5,0.46026,0.4586,1.4836769104003906,1.4872283935546875,0.45804232904429804,0.4526449700040683,0.46026,0.4586,0.44416176430725396,0.4409634442853615
6,0.48428,0.4803,1.4558453559875488,1.4647538661956787,0.49852575561163115,0.49507213093387054,0.48428,0.4803,0.4780286133542338,0.47380353492574734
7,0.47336,0.4732,1.4612345695495605,1.4691683053970337,0.5122948645564079,0.5092380119618641,0.47336,0.4732,0.4560575792035383,0.45499943293491024
8,0.45544,0.4516,1.5256167650222778,1.5381152629852295,0.5287180313592179,0.5190471966411382,0.45544,0.4516,0.4191828951568771,0.414045958890519
9,0.51532,0.5029,1.3583040237426758,1.3823521137237549,0.5474632111852423,0.5280133115222415,0.51532,0.5029,0.49267688088816824,0.4776173563142156
10,0.55014,0.5369,1.2678918838500977,1.3044418096542358,0.5837000583891057,0.568487028860009,0.55014,0.5369,0.5463581614032146,0.5320853208146388
11,0.5645,0.5433,1.2316392660140991,1.2807101011276245,0.6107216154233601,0.5870943495285518,0.5645,0.5433,0.5628347112988734,0.5406894189105508
12,0.60892,0.5911,1.1296496391296387,1.1792707443237305,0.6097858329004632,0.5898630953500226,0.60892,0.5911,0.6015655340398915,0.5822009783375239
