epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.17822,0.1756,2.2158329486846924,2.2132315635681152,0.19615870445081207,0.19070397626623445,0.2546,0.25085714285714283,0.15362344524381194,0.15241136107859918
2,0.26868,0.2755,1.9797651767730713,1.9726792573928833,0.27929463419066264,0.2536298890095342,0.26868,0.2755,0.22207121808228603,0.22693591519992734
3,0.33212,0.3341,1.8164480924606323,1.81489896774292,0.35044936886070654,0.3418595228500192,0.33212,0.3341,0.2920654776878933,0.2939327062437288
4,0.41108,0.4055,1.6262620687484741,1.6301875114440918,0.41218200139136796,0.404316923566986,0.41108,0.4055,0.3840252103466044,0.3777516298443981
5,0.38274,0.3837,1.6975651979446411,1.7015925645828247,0.43003168448127943,0.42833569672091,0.38274,0.3837,0.35191974888616473,0.3533035716022488
6,0.47996,0.4794,1.453601598739624,1.4631181955337524,0.49906253616429724,0.5026463974184993,0.47996,0.4794,0.4721533617442884,0.47226283683074216
7,0.49388,0.4904,1.4146628379821777,1.4222755432128906,0.5331677443377363,0.5262271726703557,0.49388,0.4904,0.48657002412770756,0.4814269123537777
8,0.50246,0.4938,1.3669103384017944,1.3823169469833374,0.537617618920089,0.5283916852433959,0.50246,0.4938,0.4852786550532611,0.4754334256775397
9,0.53394,0.524,1.3094419240951538,1.3319928646087646,0.5546866481134688,0.5393318573426784,0.53394,0.524,0.5183063042103772,0.5067157752955569
10,0.5341,0.5166,1.3396626710891724,1.3754955530166626,0.6007797750842835,0.5803303114565834,0.5341,0.5166,0.5267688020037461,0.509677286544309
11,0.58132,0.5636,1.185253620147705,1.2387396097183228,0.6124946079654332,0.5950266841412909,0.58132,0.5636,0.5797420122043644,0.5608504262356586
12,0.57148,0.5552,1.2619951963424683,1.307395577430725,0.5969607871367636,0.5763889336375214,0.57148,0.5552,0.5638940804489271,0.5447626514359941
13,0.59324,0.5758,1.1352546215057373,1.19864821434021,0.6248394049767808,0.6055081485569053,0.59324,0.5758,0.5758648912600275,0.5567974332274728
14,0.62418,0.5942,1.0832370519638062,1.1550811529159546,0.6513408564334651,0.620378609529641,0.62418,0.5942,0.6165540209414186,0.5861465751641017
15,0.66558,0.6311,0.9650815725326538,1.0497033596038818,0.6810288101555596,0.6454636525339668,0.66558,0.6311,0.6663077109277954,0.6316300994139278
16,0.67958,0.643,0.919877290725708,1.0242631435394287,0.6914609653092121,0.6546361287211092,0.67958,0.643,0.6759305690973649,0.6381630232667247
