epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.21352,0.2162,2.2418718338012695,2.241128921508789,0.3027822361975685,0.2617081101471068,0.23724444444444445,0.27025,0.1648800020398998,0.18712781216646351
2,0.29216,0.2955,1.9560489654541016,1.953724980354309,0.2692921647687462,0.2637713721771853,0.29216,0.2955,0.25200822840671133,0.2560434064377723
3,0.29148,0.2908,1.9685413837432861,1.9639387130737305,0.33719574599821545,0.3227325068896739,0.29148,0.2908,0.23473660908795826,0.23447247665750443
4,0.35778,0.3607,1.746417760848999,1.7384121417999268,0.4022737701502361,0.39551746777330254,0.35778,0.3607,0.32321710256366204,0.3239030835417054
5,0.44382,0.4496,1.5340789556503296,1.5335490703582764,0.469704908232882,0.4714827050075555,0.44382,0.4496,0.4353464461886967,0.44094556935219753
6,0.45484,0.4518,1.4992334842681885,1.5087363719940186,0.4862653010588414,0.4924375203405321,0.45484,0.4518,0.4489432524610146,0.44730542212650737
7,0.5064,0.5088,1.3668761253356934,1.3752456903457642,0.5209460349560863,0.5226899907142637,0.5064,0.5088,0.5057814418743167,0.5082829288604149
8,0.50892,0.5024,1.3790680170059204,1.3939167261123657,0.5164056266128868,0.5103164680150407,0.50892,0.5024,0.4950130928604849,0.48812289624754523
9,0.5511,0.5439,1.2595162391662598,1.2772436141967773,0.5753109057625686,0.5667425866814959,0.5511,0.5439,0.5525504617920307,0.5459666918626702
10,0.57664,0.5639,1.184434175491333,1.2190309762954712,0.5855377533652586,0.5735634662901039,0.57664,0.5639,0.5703727438264189,0.5565610348868876
11,0.5741,0.5605,1.174466609954834,1.2130290269851685,0.5841261184000732,0.5680431801363907,0.5741,0.5605,0.5574563219046447,0.5418031291382176
12,0.61902,0.601,1.0905338525772095,1.1401655673980713,0.6145555916220646,0.5967713727278471,0.61902,0.601,0.6093466905849306,0.5906075336769385
13,0.63242,0.6082,1.0557233095169067,1.1113582849502563,0.646832055218749,0.621968254493957,0.63242,0.6082,0.6356195821193109,0.6111329231685543
14,0.58588,0.5627,1.151968002319336,1.2271459102630615,0.6519818791125357,0.6299118975404514,0.58588,0.5627,0.5849490100490684,0.5601736505715875
15,0.65486,0.6341,0.9877029061317444,1.0649868249893188,0.6663001880136631,0.6446243715127451,0.65486,0.6341,0.6484674051011674,0.6270005456464298
16,0.63814,0.6052,1.0322579145431519,1.1340608596801758,0.6794637650639013,0.6468668682813302,0.63814,0.6052,0.6378169987475057,0.6037575651406376
17,0.68362,0.649,0.9080397486686707,1.0106837749481201,0.6919702115738309,0.6549921348423317,0.68362,0.649,0.6789814374435852,0.6431113044990556
18,0.69508,0.6466,0.8783284425735474,1.003961443901062,0.7101899853947827,0.6630065833643463,0.69508,0.6466,0.6920813143259881,0.6425234084539155
19,0.70036,0.6533,0.8609177470207214,0.9967783093452454,0.7167527922132758,0.6693617886345011,0.70036,0.6533,0.697532808639588,0.648900841633282
20,0.73746,0.6832,0.7673092484474182,0.9169127941131592,0.7405195664028253,0.6842615795133677,0.73746,0.6832,0.7366201316999439,0.6812420243223177
21,0.73956,0.6794,0.7554916143417358,0.929593563079834,0.7533184305493508,0.6930595911529368,0.73956,0.6794,0.7413569326906267,0.6805340377204978
