epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.18522,0.189,2.274505853652954,2.2742059230804443,0.23979992934314454,0.19539753656033254,0.231525,0.21,0.1348585809245764,0.1216826641091511
2,0.15968,0.1652,2.2873694896698,2.2802228927612305,0.23969966976871018,0.22746313651304262,0.1996,0.236,0.12189599539671021,0.14378697410337404
3,0.26592,0.2688,1.92451012134552,1.9155138731002808,0.30582713851334176,0.2788301987770536,0.3324,0.336,0.27254936365506494,0.27612668704586185
4,0.2898,0.2977,1.8886878490447998,1.8731595277786255,0.31704114542539047,0.3119915696216733,0.2898,0.2977,0.23404795214699534,0.2413546456776056
5,0.37912,0.3829,1.7042731046676636,1.6979221105575562,0.4006012353732752,0.3913927996759664,0.37912,0.3829,0.3626240298568985,0.36540723951833926
6,0.38044,0.3824,1.677205204963684,1.676215410232544,0.419623320449469,0.41940178707108444,0.38044,0.3824,0.34334289153502834,0.3446135236640735
7,0.45664,0.4639,1.5088889598846436,1.5087175369262695,0.4740357565904023,0.4789646614500345,0.45664,0.4639,0.4414308080115545,0.4488207099771036
8,0.47656,0.4786,1.4615181684494019,1.4689395427703857,0.47253510288036976,0.4753917381974967,0.47656,0.4786,0.46359314544737834,0.46576435975006314
9,0.49028,0.4879,1.4101773500442505,1.4132314920425415,0.5006748782257435,0.49497588288708,0.49028,0.4879,0.4818459904304483,0.4785626679531059
10,0.50254,0.4984,1.3704673051834106,1.3768125772476196,0.5071222392955274,0.5014893990125942,0.50254,0.4984,0.488653609996997,0.48468943658496294
11,0.43054,0.4351,1.75389564037323,1.758178472518921,0.476014916394617,0.48474087195952653,0.43054,0.4351,0.40850954604559964,0.4141706961946079
12,0.51944,0.5152,1.3328498601913452,1.3435460329055786,0.545266455203492,0.5419013998001797,0.51944,0.5152,0.5078555133956517,0.5033291040527168
13,0.55202,0.5484,1.2597336769104004,1.2821978330612183,0.5556709652492706,0.5510246885567557,0.55202,0.5484,0.5445186702583513,0.5405384729527378
14,0.5619,0.5512,1.2390539646148682,1.2642738819122314,0.5831883481535509,0.5707008091184537,0.5619,0.5512,0.5633968899584559,0.5516856923687761
15,0.563,0.5538,1.2306780815124512,1.2689664363861084,0.5729314945439586,0.563209407025744,0.563,0.5538,0.5493558808412186,0.5396976697017333
16,0.55648,0.5463,1.2586040496826172,1.2906527519226074,0.5827611826474265,0.5694143610883715,0.55648,0.5463,0.5483240414344288,0.5375476301239032
17,0.5793,0.5711,1.2266837358474731,1.2679696083068848,0.589000463815169,0.5785621721977237,0.5793,0.5711,0.5703689034173378,0.5619483518365535
18,0.55498,0.5373,1.2698259353637695,1.3175604343414307,0.6134744852658347,0.5959892122282414,0.55498,0.5373,0.559824495007436,0.5422342305575769
19,0.6071,0.5896,1.129589557647705,1.1813935041427612,0.6190458465382633,0.600699168869414,0.6071,0.5896,0.6046893110016061,0.5870799036978364
20,0.59416,0.5765,1.2127482891082764,1.2642079591751099,0.6076110874064249,0.5850555680193381,0.59416,0.5765,0.5855768180438715,0.5659896438093616
21,0.61028,0.5917,1.1092581748962402,1.1696709394454956,0.6329161743121379,0.614250934654053,0.61028,0.5917,0.6054992173170033,0.5869472653994505
22,0.63056,0.6056,1.067325234413147,1.1290453672409058,0.6389804755882551,0.6117461959326255,0.63056,0.6056,0.6197401199542575,0.5938283591548202
23,0.61128,0.589,1.1390599012374878,1.2151097059249878,0.6365391026687447,0.6131671992374914,0.61128,0.589,0.6123340913768297,0.5890481679617168
24,0.63014,0.6031,1.0998740196228027,1.1812766790390015,0.6444899735536722,0.6195418386538578,0.63014,0.6031,0.6254769382020078,0.5973149111916934
25,0.65212,0.6282,1.0200941562652588,1.0994350910186768,0.6593468986964991,0.6340641709776151,0.65212,0.6282,0.6482546181989731,0.6229090830124978
26,0.6332,0.6092,1.0559636354446411,1.1357908248901367,0.6567102857433262,0.6303905470457514,0.6332,0.6092,0.6289980550983528,0.6038041125056358
27,0.64968,0.6117,1.023284673690796,1.1304632425308228,0.668294391450775,0.6302655582889687,0.64968,0.6117,0.6447551846519415,0.604347961331423
28,0.5988,0.5665,1.187200903892517,1.2995063066482544,0.6932919944161757,0.6583430506869598,0.5988,0.5665,0.6051043334516083,0.5720971653025192
29,0.672,0.637,0.9604032635688782,1.066724419593811,0.7022226210852875,0.6659758981446423,0.672,0.637,0.6784235003764021,0.6430024635784084
30,0.66886,0.624,0.9656283855438232,1.1007615327835083,0.6892834550518978,0.6438126505093634,0.66886,0.624,0.6680313415211787,0.6207043477524937
31,0.69204,0.6444,0.8990618586540222,1.032162070274353,0.705791066506788,0.659147801208535,0.69204,0.6444,0.6927851800778699,0.6444960506033737
32,0.6476,0.6118,1.0643069744110107,1.1892361640930176,0.6836614439064171,0.6494003968547515,0.6476,0.6118,0.6487938094479263,0.6127160980093296
33,0.69458,0.654,0.8934390544891357,1.0186767578125,0.7082323813879483,0.6672203995361499,0.69458,0.654,0.6959578289942316,0.6553951891239241
34,0.6738,0.6303,0.9558625221252441,1.0944230556488037,0.7103341927441028,0.6690965135358121,0.6738,0.6303,0.6742503898562927,0.6299970547481762
35,0.66052,0.622,1.0572717189788818,1.2110230922698975,0.6982175949723219,0.6595299619652358,0.66052,0.622,0.6608900157345524,0.6200041080761811
36,0.69772,0.6477,0.894478440284729,1.0439287424087524,0.710209066424681,0.6614970165244441,0.69772,0.6477,0.6975792989013886,0.6472590984254054
37,0.68064,0.6398,0.9716897010803223,1.1315187215805054,0.7131668193149258,0.6723452765250312,0.68064,0.6398,0.6833294853711216,0.6424215641441903
38,0.68442,0.6381,0.9957146644592285,1.1789770126342773,0.7066627070718122,0.6594410326020522,0.68442,0.6381,0.6795287261487853,0.630659304412653
39,0.72122,0.6653,0.833989679813385,1.0107876062393188,0.7392489496090352,0.68586272769105,0.72122,0.6653,0.7247127685282269,0.6690225581476273
40,0.70084,0.6583,0.9093160033226013,1.075286865234375,0.709724064658842,0.6676264011964411,0.70084,0.6583,0.697243795046921,0.6527995990657235
41,0.68574,0.633,0.9597585201263428,1.1445456743240356,0.7239405011095603,0.6757661946568528,0.68574,0.633,0.6838526559271176,0.6318567073326158
42,0.71538,0.6662,0.8429260849952698,1.020731806755066,0.7341448460354275,0.681419817134459,0.71538,0.6662,0.7064860115505394,0.6555079067301319
43,0.7185,0.6597,0.8627353310585022,1.0651476383209229,0.7542283115039856,0.6982515155228415,0.7185,0.6597,0.7250324553988182,0.6664228075162308
44,0.75528,0.6958,0.7425951361656189,0.931311845779419,0.7619699501370548,0.7026373321349748,0.75528,0.6958,0.7552887982674196,0.6959034007833493
45,0.75312,0.6925,0.7415732741355896,0.9401438236236572,0.7558061094571858,0.6949986584705709,0.75312,0.6925,0.7526856790033997,0.6915242581346814
46,0.72134,0.6578,0.8590870499610901,1.0924437046051025,0.738405495282028,0.6765823258462278,0.72134,0.6578,0.7175269598357364,0.652143349358169
47,0.74742,0.6767,0.7724941372871399,1.002969741821289,0.7647599928467811,0.6959065290889268,0.74742,0.6767,0.7485083855784964,0.6775269157527053
48,0.74826,0.6887,0.7852493524551392,1.0187608003616333,0.762788263063724,0.7055160432733396,0.74826,0.6887,0.7494118711386091,0.6894623086094259
49,0.75104,0.6845,0.7697722911834717,1.0011972188949585,0.7641250003308113,0.6975327872227552,0.75104,0.6845,0.7513459232107518,0.683874440392159
50,0.73174,0.6657,0.8402590751647949,1.0680646896362305,0.7567153210854114,0.6958266672805046,0.73174,0.6657,0.7323163581860916,0.6659572167569777
51,0.74308,0.6766,0.7984570264816284,1.0450284481048584,0.7625100546380494,0.6995033807967392,0.74308,0.6766,0.7440466361445328,0.6772348170366341
52,0.77544,0.6981,0.6949575543403625,0.9366764426231384,0.7796798517782079,0.7022419341383249,0.77544,0.6981,0.7751377927891582,0.6973275651607534
53,0.73284,0.6667,0.8164190053939819,1.0657904148101807,0.7719673347384572,0.7062448430868339,0.73284,0.6667,0.7352881253011464,0.6678781943862605
54,0.76582,0.6913,0.7283594012260437,0.9934229254722595,0.7781584255450916,0.7054253922429128,0.76582,0.6913,0.7659508953138937,0.6905158540953064
55,0.77056,0.6931,0.7209952473640442,0.9906806349754333,0.7800655905009156,0.7036981226791198,0.77056,0.6931,0.7716708399192669,0.6938159606126579
56,0.76076,0.687,0.7628059387207031,1.0434623956680298,0.7815946502572211,0.7069249006771153,0.76076,0.687,0.7629677566819207,0.688406028560301
57,0.7567,0.6779,0.7708609104156494,1.055822730064392,0.7849655934135369,0.7114298733434303,0.7567,0.6779,0.7625154082086848,0.6847192898628688
58,0.7637,0.6929,0.7663290500640869,1.0532673597335815,0.7783822501580298,0.7059835236420978,0.7637,0.6929,0.7588236075072328,0.6860977337655728
59,0.7941,0.7114,0.6528946757316589,0.9386901259422302,0.7957356711898379,0.7123753313630683,0.7941,0.7114,0.7927680847698325,0.7090479050802871
60,0.78596,0.7034,0.6753085255622864,0.9754621386528015,0.7963700718319227,0.7168241991301297,0.78596,0.7034,0.7882736599139405,0.7062032140746787
61,0.76746,0.6776,0.7872742414474487,1.116721272468567,0.7875860516016047,0.7000606301567842,0.76746,0.6776,0.7677203383876121,0.6778757896915218
62,0.77288,0.6873,0.7242779731750488,1.051938533782959,0.7973133899444226,0.7204917372959196,0.77288,0.6873,0.7772779646747524,0.6936884318086027
63,0.7939,0.6996,0.6534935832023621,0.9702503681182861,0.8005880860016358,0.7079489442434309,0.7939,0.6996,0.7939952609434641,0.6997223273916408
64,0.79236,0.6971,0.6445127725601196,0.9735602736473083,0.8046763098847469,0.7148150927654747,0.79236,0.6971,0.7950263520772971,0.7011030852943648
65,0.78918,0.6996,0.6740254759788513,1.0001394748687744,0.8032065739799684,0.7166084878190705,0.78918,0.6996,0.7894375537756857,0.7003264506695768
66,0.80308,0.7073,0.6248360276222229,0.9653202295303345,0.8124591341051971,0.7220731233042104,0.80308,0.7073,0.8049389805931249,0.7104241912662336
67,0.80184,0.7053,0.6251056790351868,0.9582412838935852,0.8075206267172897,0.7114654262552031,0.80184,0.7053,0.8006586100927834,0.702923379161382
68,0.79146,0.6967,0.6657167673110962,1.0167967081069946,0.8085156648548079,0.7186578032004117,0.79146,0.6967,0.7929098682724475,0.698495505675677
69,0.80686,0.7071,0.6021677851676941,0.9330145716667175,0.8100197152541172,0.7096395048319744,0.80686,0.7071,0.8054320398744927,0.7044682804295338
70,0.81608,0.7172,0.5825547575950623,0.9369274377822876,0.8189909593839837,0.7217952459246378,0.81608,0.7172,0.8165050406740312,0.7182130919874464
71,0.79956,0.7045,0.6455799341201782,1.0353705883026123,0.8114947213797992,0.7231921414578117,0.79956,0.7045,0.8025336023449549,0.7093875132716578
72,0.8178,0.7174,0.5805025696754456,0.9539984464645386,0.8214138997599983,0.7219118447184892,0.8178,0.7174,0.8173910721982917,0.716653749747216
73,0.81574,0.7101,0.5926209688186646,0.9637567400932312,0.8171984551491552,0.7122041337778869,0.81574,0.7101,0.8149692424648335,0.7090124015903944
74,0.82748,0.7173,0.5737104415893555,0.9881279468536377,0.8311212852096675,0.7218452428753994,0.82748,0.7173,0.8271984166187899,0.7163023994149565
