epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.19762,0.199,2.26910138130188,2.268749713897705,0.22123109386501605,0.20515018103442012,0.28231428571428574,0.2842857142857143,0.19025283009996513,0.19358587873687783
2,0.2445,0.2521,2.018615484237671,2.0103952884674072,0.3382622043702911,0.2531309348469938,0.27166666666666667,0.315125,0.2048609504453816,0.23680612702350504
3,0.30612,0.3195,1.8728893995285034,1.8651682138442993,0.31906145399202457,0.33862174129176087,0.30612,0.3195,0.27893904876807524,0.29186435242841174
4,0.34786,0.3527,1.7848315238952637,1.7804664373397827,0.3643596472750515,0.35248151207158374,0.34786,0.3527,0.30574945773867906,0.3072648908760385
5,0.42134,0.4231,1.5939399003982544,1.5877201557159424,0.43003937054362606,0.4289867128432647,0.42134,0.4231,0.40096958309468655,0.4019776136260824
6,0.4484,0.4566,1.5264394283294678,1.5253968238830566,0.46952922935923175,0.4724185867340636,0.4484,0.4566,0.4397857257082032,0.44707817201536015
7,0.48166,0.4816,1.4159643650054932,1.4199048280715942,0.4842615680575192,0.47960355891793316,0.48166,0.4816,0.45871050589028295,0.4566479720694453
8,0.47728,0.4806,1.4249802827835083,1.4304721355438232,0.5214939698661423,0.5149156376198522,0.47728,0.4806,0.45760790885017816,0.4590615695912887
9,0.49206,0.4916,1.4104712009429932,1.4278090000152588,0.5426839814878487,0.5390622679966871,0.49206,0.4916,0.48462741669632226,0.4850390784254665
10,0.54394,0.5293,1.2638468742370605,1.2910367250442505,0.5690609185234939,0.5500544508780931,0.54394,0.5293,0.5306561303362193,0.514151840287092
11,0.53736,0.5284,1.280370831489563,1.3170398473739624,0.602754176155559,0.5898090090034948,0.53736,0.5284,0.5396920761506661,0.5296414864056728
12,0.58532,0.5692,1.1858415603637695,1.2331024408340454,0.6123531884091994,0.596664828772293,0.58532,0.5692,0.5879237269554514,0.5717238491833249
