epoch,train,test
1,0.10448333333333333,0.1035
2,0.26338333333333336,0.2663
3,0.43535,0.4388
4,0.6066333333333334,0.6117
5,0.6824666666666667,0.6836
6,0.7127833333333333,0.7217
7,0.7452833333333333,0.7575
8,0.7969166666666667,0.8074
9,0.82465,0.8329
10,0.8452833333333334,0.8536
11,0.8614166666666667,0.87
12,0.8691333333333333,0.8783
13,0.8764833333333333,0.8843
14,0.88175,0.8895
15,0.8860333333333333,0.891
16,0.88785,0.897
17,0.89515,0.9027
18,0.8954333333333333,0.9036
19,0.8993166666666667,0.9069
20,0.9027166666666666,0.9103
21,0.9025166666666666,0.9099
22,0.9082333333333333,0.9149
23,0.9087666666666666,0.9144
24,0.9108666666666667,0.9181
25,0.9137833333333333,0.9218
26,0.9153333333333333,0.9202
27,0.9185666666666666,0.9266
28,0.9221666666666667,0.9296
29,0.9220166666666667,0.9281
30,0.9230833333333334,0.9299
31,0.9266166666666666,0.9329
32,0.92735,0.9319
33,0.9301166666666667,0.9378
34,0.9316666666666666,0.9385
35,0.9318833333333333,0.9381
36,0.9357333333333333,0.9422
37,0.9368166666666666,0.9414
38,0.9379833333333333,0.9453
39,0.9377166666666666,0.9449
40,0.9408166666666666,0.9468
41,0.9419833333333333,0.9475
42,0.9419666666666666,0.9487
43,0.9444833333333333,0.951
44,0.9457166666666666,0.9506
45,0.9476833333333333,0.9525
46,0.94765,0.9519
47,0.94745,0.9525
48,0.9501666666666667,0.9545
49,0.9504166666666667,0.9545
50,0.9522166666666667,0.956
51,0.9498833333333333,0.9539
52,0.9539833333333333,0.9593
53,0.9545333333333333,0.9594
54,0.9546833333333333,0.9592
55,0.95395,0.9593
56,0.9577,0.962
57,0.95735,0.9615
58,0.9582333333333334,0.9638
59,0.9584833333333334,0.9618
60,0.9590833333333333,0.9634
61,0.9609833333333333,0.9653
62,0.9612,0.9652
63,0.9613833333333334,0.9655
64,0.9618,0.9676
65,0.9635666666666667,0.9693
66,0.9632166666666667,0.9667
67,0.9640166666666666,0.9691
68,0.96525,0.9701
69,0.96505,0.9683
70,0.9640666666666666,0.9683
71,0.9649,0.9685
72,0.9662666666666667,0.9705
73,0.9648666666666667,0.9698
74,0.9669333333333333,0.9715
75,0.96775,0.9715
76,0.96775,0.9714
77,0.9683833333333334,0.9714
78,0.9679,0.9726
79,0.968,0.9726
80,0.9693333333333334,0.9719
81,0.9691,0.9727
82,0.9696833333333333,0.9725
83,0.9702833333333334,0.9738
84,0.9710166666666666,0.9733
85,0.9706333333333333,0.9737
86,0.9701166666666666,0.9725
87,0.9713,0.9742
88,0.9709666666666666,0.9734
89,0.97245,0.9744
90,0.9706333333333333,0.9734
91,0.9728166666666667,0.9752
92,0.9729666666666666,0.9757
93,0.9727,0.9742
94,0.9727,0.9745
95,0.97315,0.9756
96,0.9737833333333333,0.9754
97,0.9740833333333333,0.9766
98,0.9732666666666666,0.9761
99,0.9736833333333333,0.9757
100,0.9749333333333333,0.976
101,0.9741333333333333,0.9764
102,0.9752166666666666,0.9768
103,0.9751333333333333,0.9767
104,0.9753666666666667,0.9768
105,0.9755,0.9776
106,0.9752666666666666,0.9762
107,0.9759,0.9775
108,0.9751,0.9756
109,0.9763,0.9773
110,0.9762833333333333,0.9774
111,0.9752666666666666,0.9764
112,0.9764333333333334,0.9778
113,0.97695,0.9789
114,0.9771,0.9782
115,0.97715,0.9773
116,0.9770166666666666,0.9788
117,0.9769333333333333,0.9785
118,0.9768833333333333,0.9784
119,0.9759666666666666,0.9765
120,0.978,0.979
121,0.9782833333333333,0.9784
122,0.9783333333333334,0.9785
123,0.9782833333333333,0.9786
124,0.9779,0.9787
125,0.97815,0.9802
126,0.9788,0.9798
127,0.9787333333333333,0.9806
128,0.9795,0.98
129,0.97715,0.978
130,0.9787,0.9802
131,0.9786833333333333,0.979
132,0.97935,0.98
133,0.9784,0.9785
134,0.9797833333333333,0.9806
135,0.9797333333333333,0.9801
136,0.9794,0.9798
137,0.9795166666666667,0.9806
138,0.9796833333333334,0.9812
139,0.97795,0.9785
140,0.9806166666666667,0.9814
141,0.9804666666666667,0.98
142,0.97965,0.9798
143,0.9799833333333333,0.98
144,0.9795833333333334,0.9792
145,0.9805,0.9812
146,0.9817,0.9817
147,0.9812666666666666,0.9808
148,0.9792,0.9792
149,0.9817,0.9815
150,0.9800166666666666,0.98
151,0.9816666666666667,0.9818
152,0.98155,0.9812
153,0.9816166666666667,0.9818
154,0.9820166666666666,0.9821
155,0.9797166666666667,0.9803
156,0.98195,0.9822
157,0.9824166666666667,0.9818
158,0.98145,0.982
159,0.9807833333333333,0.9805
160,0.9819833333333333,0.9806
161,0.9812166666666666,0.9821
162,0.9823,0.9819
163,0.98045,0.9803
164,0.9831,0.982
165,0.9826833333333334,0.9822
166,0.9828333333333333,0.9813
167,0.9818666666666667,0.9814
168,0.9821666666666666,0.9806
169,0.9832166666666666,0.983
170,0.98255,0.9817
171,0.9832,0.9823
172,0.98285,0.9829
173,0.9834666666666667,0.9821
174,0.9829666666666667,0.983
175,0.9823166666666666,0.9814
176,0.9838666666666667,0.9822
177,0.9841166666666666,0.9831
178,0.9829666666666667,0.9828
179,0.9823333333333333,0.9828
180,0.9832,0.9822
181,0.9830666666666666,0.9818
182,0.9838,0.9829
183,0.9843333333333333,0.9838
184,0.9837333333333333,0.9819
185,0.9839,0.984
186,0.9843833333333334,0.9828
187,0.9843166666666666,0.9835
188,0.9845333333333334,0.983
189,0.9834166666666667,0.9829
190,0.9845166666666667,0.9838
191,0.9843666666666666,0.983
192,0.9851666666666666,0.9831
193,0.98415,0.9835
194,0.9849666666666667,0.9838
195,0.9849,0.984
196,0.9834833333333334,0.9824
197,0.9829833333333333,0.9827
198,0.9849666666666667,0.983
199,0.9842333333333333,0.9833
200,0.9845166666666667,0.9844
201,0.9850333333333333,0.9838
202,0.9829333333333333,0.9833
203,0.9844833333333334,0.9836
204,0.985,0.9835
205,0.9849333333333333,0.9829
206,0.9852,0.9839
207,0.9826166666666667,0.9831
