epoch,train,test
1,0.1035,0.1022
2,0.25038333333333335,0.2522
3,0.4243166666666667,0.4283
4,0.6070333333333333,0.6122
5,0.68355,0.6848
6,0.7112166666666667,0.7199
7,0.74505,0.7574
8,0.7980666666666667,0.8085
9,0.82515,0.8346
10,0.8460166666666666,0.8547
11,0.8630166666666667,0.8695
12,0.8690666666666667,0.8768
13,0.8772833333333333,0.8846
14,0.88305,0.8896
15,0.8868666666666667,0.8915
16,0.88965,0.8967
17,0.8961666666666667,0.9034
18,0.8972833333333333,0.9051
19,0.9004833333333333,0.908
20,0.9036333333333333,0.9121
21,0.9028833333333334,0.9114
22,0.9096166666666666,0.9163
23,0.9101666666666667,0.917
24,0.9121,0.9173
25,0.9153666666666667,0.9231
26,0.9167166666666666,0.9219
27,0.9204666666666667,0.9275
28,0.92385,0.9306
29,0.9241166666666667,0.9309
30,0.92405,0.9322
31,0.92795,0.9352
32,0.9288333333333333,0.9336
33,0.9315,0.9393
34,0.9337833333333333,0.9405
35,0.9339333333333333,0.9408
36,0.9370666666666667,0.9444
37,0.9387,0.9435
38,0.9397,0.947
39,0.9395166666666667,0.9455
40,0.9427666666666666,0.9494
41,0.9444333333333333,0.95
42,0.9447833333333333,0.9506
43,0.9466,0.9526
44,0.9476,0.9524
45,0.94975,0.9548
46,0.9496666666666667,0.9532
47,0.9491833333333334,0.9554
48,0.9515166666666667,0.9559
49,0.9519666666666666,0.9558
50,0.95405,0.9572
51,0.9531666666666667,0.9567
52,0.9557333333333333,0.9609
53,0.9565833333333333,0.9617
54,0.9562666666666667,0.961
55,0.9568166666666666,0.9624
56,0.9593,0.9638
57,0.9595,0.9628
58,0.9605833333333333,0.9659
59,0.9604333333333334,0.9643
60,0.9608,0.966
61,0.9631333333333333,0.9681
62,0.9626833333333333,0.968
63,0.9636666666666667,0.9682
64,0.96375,0.9685
65,0.9653666666666667,0.9701
66,0.96545,0.9697
67,0.9664333333333334,0.9707
68,0.9668833333333333,0.9722
69,0.96665,0.9695
70,0.9663166666666667,0.9698
71,0.9671333333333333,0.9709
72,0.9684,0.9719
73,0.96735,0.97
74,0.96875,0.9725
75,0.97,0.9727
76,0.9699666666666666,0.9734
77,0.9699666666666666,0.9727
78,0.9696333333333333,0.9741
79,0.9694,0.9726
80,0.9713833333333334,0.974
81,0.9717333333333333,0.974
82,0.9715666666666667,0.9738
83,0.97225,0.9745
84,0.9730666666666666,0.9745
85,0.9724666666666667,0.9747
86,0.9724666666666667,0.9744
87,0.9734666666666667,0.9749
88,0.97315,0.9737
89,0.9739333333333333,0.9753
90,0.9728833333333333,0.9744
91,0.97445,0.9767
92,0.97515,0.9767
93,0.9741,0.9748
94,0.9746,0.9759
95,0.9750833333333333,0.9765
96,0.9756333333333334,0.9756
97,0.9756833333333333,0.9767
98,0.97485,0.977
99,0.9754,0.9761
100,0.9765166666666667,0.9772
101,0.9760333333333333,0.9772
102,0.9767333333333333,0.9778
103,0.9768333333333333,0.9776
104,0.9771333333333333,0.9768
105,0.9772166666666666,0.9792
106,0.9771833333333333,0.9766
107,0.9774833333333334,0.978
108,0.9770166666666666,0.9766
109,0.9779166666666667,0.9784
110,0.9777833333333333,0.978
111,0.9770333333333333,0.9773
112,0.9777666666666667,0.9783
113,0.9786666666666667,0.9796
114,0.9791333333333333,0.9796
115,0.9787166666666667,0.9788
116,0.9789166666666667,0.9801
117,0.9789333333333333,0.9789
118,0.9787166666666667,0.9789
119,0.9784333333333334,0.9781
120,0.9798333333333333,0.9803
121,0.9800333333333333,0.9794
122,0.9800166666666666,0.9804
123,0.9799333333333333,0.9799
124,0.98015,0.9796
125,0.9800833333333333,0.9808
126,0.9805666666666667,0.9807
127,0.9801666666666666,0.9808
128,0.9808,0.9804
129,0.9794333333333334,0.9785
130,0.9792666666666666,0.9796
131,0.9807666666666667,0.9795
132,0.9815,0.9815
133,0.9803833333333334,0.9791
134,0.98175,0.9818
135,0.9819,0.9811
136,0.9817333333333333,0.9809
137,0.9817166666666667,0.9812
138,0.9816,0.9818
139,0.9799166666666667,0.9791
140,0.9822166666666666,0.9812
141,0.9821,0.9806
142,0.9812833333333333,0.9796
143,0.9830333333333333,0.9815
144,0.9821333333333333,0.9809
145,0.9825166666666667,0.982
146,0.9830333333333333,0.9821
147,0.9830333333333333,0.982
148,0.9812666666666666,0.9807
149,0.98305,0.9823
150,0.9814833333333334,0.9814
151,0.9829333333333333,0.9821
152,0.9832333333333333,0.9822
153,0.9833666666666666,0.9819
154,0.9837666666666667,0.9831
155,0.9806166666666667,0.9811
156,0.9837,0.9822
157,0.9839166666666667,0.9824
158,0.98295,0.9825
159,0.9824333333333334,0.9814
160,0.9834833333333334,0.9816
161,0.98315,0.9832
162,0.9836833333333334,0.9828
163,0.9826666666666667,0.9815
164,0.9845166666666667,0.9822
165,0.9839833333333333,0.9826
166,0.9843666666666666,0.9824
167,0.9838833333333333,0.9829
168,0.9838166666666667,0.9822
169,0.9843333333333333,0.9831
170,0.98425,0.9823
171,0.9844833333333334,0.9834
172,0.9841166666666666,0.9832
173,0.9850333333333333,0.9825
