epoch,train,test
1,0.10336666666666666,0.1019
2,0.25066666666666665,0.2522
3,0.42488333333333334,0.4287
4,0.6068333333333333,0.6118
5,0.6838,0.6846
6,0.7105833333333333,0.7198
7,0.7456666666666667,0.7582
8,0.7986166666666666,0.8089
9,0.8253,0.834
10,0.8462666666666666,0.8552
11,0.86285,0.87
12,0.8689833333333333,0.8773
13,0.8769166666666667,0.8838
14,0.8824833333333333,0.8902
15,0.88685,0.891
16,0.8893833333333333,0.8968
17,0.8958333333333334,0.9029
18,0.89705,0.9051
19,0.9007333333333334,0.9086
20,0.9035833333333333,0.912
21,0.9027666666666667,0.9106
22,0.9097833333333334,0.9168
23,0.9100166666666667,0.9166
24,0.9128833333333334,0.9186
25,0.9152333333333333,0.9232
26,0.9168333333333333,0.9221
27,0.9200666666666667,0.9278
28,0.9236833333333333,0.9307
29,0.9239833333333334,0.9307
30,0.9242,0.932
31,0.9282333333333334,0.9355
32,0.929,0.9341
33,0.9315666666666667,0.9389
34,0.9337333333333333,0.9406
35,0.9336666666666666,0.9406
36,0.9367833333333333,0.9445
37,0.9385333333333333,0.944
38,0.9396,0.9466
39,0.9388333333333333,0.945
40,0.9426333333333333,0.9491
41,0.9441166666666667,0.9499
42,0.9447166666666666,0.9508
43,0.9466666666666667,0.9529
44,0.9476,0.9528
45,0.9497833333333333,0.9547
46,0.9498166666666666,0.9536
47,0.94915,0.9549
48,0.9516333333333333,0.956
49,0.9518,0.9554
50,0.9542666666666667,0.9574
51,0.9530166666666666,0.9564
52,0.9558,0.9606
53,0.95655,0.9621
54,0.9560333333333333,0.9616
55,0.95665,0.9622
56,0.9591833333333334,0.9636
57,0.9594666666666667,0.9633
58,0.9604,0.9657
59,0.96045,0.964
60,0.9610666666666666,0.9662
61,0.9631666666666666,0.9681
62,0.9625333333333334,0.968
63,0.9636166666666667,0.9679
64,0.9640166666666666,0.9688
65,0.9653833333333334,0.9698
66,0.9654833333333334,0.97
67,0.9664333333333334,0.9707
68,0.9668,0.9722
69,0.9665833333333333,0.9692
70,0.9662833333333334,0.9697
71,0.96705,0.9709
72,0.9685166666666667,0.9721
73,0.9672833333333334,0.9697
74,0.96895,0.9726
75,0.9697833333333333,0.9728
76,0.9700833333333333,0.9735
77,0.9701,0.9729
78,0.9700333333333333,0.9744
79,0.9695666666666667,0.9726
80,0.9712166666666666,0.9737
81,0.9715833333333334,0.974
82,0.9715833333333334,0.9734
83,0.9722333333333333,0.9748
84,0.9729333333333333,0.9748
85,0.9722166666666666,0.9745
86,0.9724,0.9744
87,0.97345,0.9752
88,0.9733833333333334,0.9745
89,0.9739833333333333,0.9753
90,0.9727333333333333,0.9744
91,0.9745333333333334,0.9762
92,0.9751333333333333,0.9765
93,0.9744,0.9752
94,0.9745833333333334,0.976
95,0.9750166666666666,0.9765
96,0.9756,0.976
97,0.9760333333333333,0.9766
98,0.9748666666666667,0.977
99,0.9753,0.9759
100,0.976,0.9771
101,0.976,0.9775
102,0.9767833333333333,0.9778
103,0.9769,0.9773
104,0.9771666666666666,0.9771
105,0.9773166666666666,0.979
106,0.9768,0.9767
107,0.9774333333333334,0.978
108,0.9767833333333333,0.9767
109,0.9779833333333333,0.9784
110,0.9775833333333334,0.9775
111,0.9772333333333333,0.9768
112,0.9778,0.9779
113,0.9785833333333334,0.9798
114,0.9792166666666666,0.9793
115,0.9785,0.9788
116,0.9789333333333333,0.9804
117,0.9789333333333333,0.979
118,0.9786,0.9789
119,0.97885,0.9783
120,0.9798666666666667,0.9802
121,0.9799833333333333,0.9794
122,0.9801,0.9804
123,0.97985,0.9798
124,0.98025,0.9799
125,0.98,0.9806
126,0.98075,0.9806
127,0.97995,0.9809
128,0.9809,0.9804
129,0.9796,0.9788
130,0.9794333333333334,0.9799
131,0.9808666666666667,0.9798
132,0.9813666666666667,0.9812
133,0.9802666666666666,0.9794
134,0.9819333333333333,0.9818
135,0.9818333333333333,0.9811
136,0.9814833333333334,0.981
137,0.9813833333333334,0.9807
138,0.9814333333333334,0.9816
139,0.9797,0.9794
140,0.9822166666666666,0.9817
141,0.982,0.9806
142,0.9812666666666666,0.9798
143,0.9828333333333333,0.9815
144,0.9817,0.9804
145,0.9824833333333334,0.9814
146,0.9830166666666666,0.982
147,0.983,0.982
148,0.98105,0.9806
149,0.9831166666666666,0.982
150,0.9814666666666667,0.981
151,0.9829333333333333,0.9822
152,0.9832166666666666,0.9821
153,0.9833166666666666,0.9819
154,0.9836166666666667,0.9834
155,0.9800666666666666,0.981
156,0.9834666666666667,0.982
157,0.9839333333333333,0.9827
158,0.98295,0.9823
159,0.9823,0.9814
160,0.9834833333333334,0.9815
161,0.9831833333333333,0.9832
162,0.9837833333333333,0.9828
163,0.9831666666666666,0.982
164,0.9843833333333334,0.9819
165,0.9840666666666666,0.9826
166,0.9845333333333334,0.9829
167,0.9844666666666667,0.983
