epoch,train,test
1,0.61935,0.6348
2,0.8678666666666667,0.8702
3,0.8928666666666667,0.8966
4,0.9034,0.9081
5,0.9283166666666667,0.9358
6,0.9237833333333333,0.9322
7,0.9335333333333333,0.9372
8,0.952,0.956
9,0.9553666666666667,0.9593
10,0.9584833333333334,0.9619
11,0.96045,0.9661
12,0.96075,0.9657
13,0.9633333333333334,0.9658
14,0.9635166666666667,0.967
15,0.9635,0.9659
16,0.9656666666666667,0.9675
17,0.9649,0.9662
18,0.9694666666666667,0.9713
19,0.96945,0.9715
20,0.9708166666666667,0.973
21,0.9724166666666667,0.9753
22,0.9726833333333333,0.9758
23,0.9706333333333333,0.9722
24,0.97155,0.9729
25,0.97455,0.9748
26,0.9759,0.9779
27,0.9768166666666667,0.9779
28,0.9759833333333333,0.9781
29,0.9753166666666667,0.9779
30,0.9727166666666667,0.9759
31,0.9779,0.9787
32,0.9766833333333333,0.978
33,0.97845,0.9805
34,0.9755,0.9763
35,0.9768666666666667,0.9776
36,0.9782,0.9778
37,0.9756666666666667,0.9749
38,0.9791833333333333,0.9812
39,0.9793666666666667,0.981
40,0.9768666666666667,0.9775
41,0.9774,0.9809
42,0.9796166666666667,0.9794
43,0.9802666666666666,0.9822
44,0.9793833333333334,0.9817
45,0.97555,0.9786
46,0.9807,0.9805
47,0.9801666666666666,0.9822
48,0.9810833333333333,0.9809
49,0.9795333333333334,0.9788
50,0.9827833333333333,0.9819
51,0.98025,0.9813
52,0.9825833333333334,0.9827
53,0.9787,0.9783
54,0.9814666666666667,0.9825
55,0.9777833333333333,0.9786
56,0.98115,0.9805
57,0.9791666666666666,0.9817
58,0.9784833333333334,0.9782
59,0.98275,0.9833
60,0.98215,0.9823
61,0.9817666666666667,0.9822
62,0.98125,0.981
63,0.9842833333333333,0.9834
64,0.9818666666666667,0.9815
65,0.9814833333333334,0.9791
66,0.98205,0.9811
67,0.98325,0.9828
68,0.9837333333333333,0.9843
69,0.9828833333333333,0.9819
70,0.9805666666666667,0.9804
71,0.9820666666666666,0.9796
72,0.9844166666666667,0.9824
73,0.9839666666666667,0.9831
74,0.9816833333333334,0.9801
75,0.9825166666666667,0.9799
76,0.9826333333333334,0.9819
77,0.98265,0.9816
78,0.98315,0.9844
79,0.9843166666666666,0.9831
80,0.9845166666666667,0.9838
81,0.9824333333333334,0.9827
82,0.98485,0.9832
83,0.9848333333333333,0.9845
84,0.9849166666666667,0.9852
85,0.98445,0.9849
86,0.9858166666666667,0.9841
87,0.9852166666666666,0.9852
88,0.98535,0.9842
89,0.98425,0.9818
90,0.9841166666666666,0.9837
91,0.9853666666666666,0.9832
92,0.98605,0.9851
93,0.9853,0.9851
94,0.9855666666666667,0.9833
95,0.9855,0.9829
96,0.9857166666666667,0.9849
97,0.9859,0.9837
98,0.9844333333333334,0.9839
99,0.9856833333333334,0.9849
100,0.9855,0.986
101,0.98395,0.9846
102,0.9851,0.985
103,0.9860333333333333,0.9845
104,0.9854333333333334,0.9836
105,0.98655,0.9847
106,0.98405,0.9811
107,0.9858666666666667,0.9849
108,0.9867166666666667,0.9857
109,0.9837333333333333,0.9802
110,0.9850833333333333,0.9834
111,0.9866,0.9858
112,0.9839666666666667,0.984
113,0.9859833333333333,0.9853
114,0.98625,0.9853
115,0.98765,0.987
116,0.9872166666666666,0.986
117,0.98615,0.9862
118,0.9866,0.9843
119,0.9872333333333333,0.9856
120,0.9875833333333334,0.9859
121,0.9872333333333333,0.9862
122,0.9862166666666666,0.9841
123,0.9866666666666667,0.9841
124,0.9875833333333334,0.9862
125,0.9856166666666667,0.9848
126,0.98705,0.9849
