epoch,train,test
1,0.7425666666666667,0.7539
2,0.8866,0.8921
3,0.9143166666666667,0.9198
4,0.9330333333333334,0.9379
5,0.94335,0.9488
6,0.9493,0.952
7,0.9537166666666667,0.9575
8,0.9644,0.9681
9,0.9661833333333333,0.968
10,0.9698333333333333,0.9736
11,0.9708166666666667,0.9741
12,0.9741666666666666,0.9761
13,0.9733833333333334,0.9741
14,0.9759833333333333,0.9763
15,0.9766833333333333,0.9782
16,0.9784833333333334,0.9794
17,0.97845,0.9774
18,0.9797666666666667,0.9811
19,0.9812,0.9812
20,0.9814666666666667,0.982
21,0.9824333333333334,0.9807
22,0.9835666666666667,0.9825
23,0.9816333333333334,0.98
24,0.9827166666666667,0.9829
25,0.9847833333333333,0.9832
26,0.9855333333333334,0.9836
27,0.98375,0.9833
28,0.98625,0.9848
29,0.9861166666666666,0.9837
30,0.9866666666666667,0.9856
31,0.9865666666666667,0.9838
32,0.9875,0.9858
33,0.9869833333333333,0.9835
34,0.9858666666666667,0.983
35,0.988,0.9846
36,0.9885333333333334,0.9862
37,0.9884333333333334,0.9864
38,0.98905,0.9867
39,0.9888333333333333,0.9872
40,0.9888833333333333,0.9865
41,0.9895,0.9864
42,0.9898666666666667,0.9869
43,0.9892666666666666,0.9862
44,0.9904666666666667,0.9867
45,0.9902333333333333,0.9871
46,0.9905166666666667,0.9872
47,0.9900166666666667,0.9876
48,0.9911666666666666,0.9866
49,0.9911666666666666,0.9882
50,0.98875,0.9856
51,0.9913666666666666,0.9879
52,0.9911166666666666,0.9873
53,0.9910833333333333,0.9883
54,0.9901666666666666,0.9865
55,0.99145,0.9877
56,0.9916333333333334,0.9889
57,0.99045,0.9884
58,0.99125,0.9874
59,0.99215,0.988
60,0.9911166666666666,0.9875
61,0.99085,0.9883
62,0.9922,0.9883
63,0.9926833333333334,0.9883
64,0.9915166666666667,0.9878
65,0.9917666666666667,0.9883
66,0.99195,0.9881
67,0.9916166666666667,0.9883
68,0.9919,0.9885
69,0.9934,0.9892
70,0.9927666666666667,0.9887
71,0.9926666666666667,0.989
72,0.9918333333333333,0.9881
73,0.9927333333333334,0.9889
74,0.9905166666666667,0.986
75,0.9931833333333333,0.9889
76,0.9924166666666666,0.9879
77,0.9929333333333333,0.989
78,0.9931666666666666,0.9884
79,0.9935833333333334,0.9891
80,0.9933166666666666,0.9896
81,0.99395,0.9886
82,0.9936333333333334,0.9895
83,0.9939333333333333,0.9891
84,0.9942,0.9894
85,0.9936666666666667,0.9892
86,0.9925333333333334,0.989
87,0.994,0.9892
88,0.9936333333333334,0.9885
89,0.99335,0.9885
90,0.9934666666666667,0.9888
91,0.9946,0.9896
92,0.9947,0.9898
93,0.9944,0.9895
94,0.9939666666666667,0.9891
95,0.9904666666666667,0.9861
96,0.99395,0.9895
97,0.99465,0.9895
98,0.9942833333333333,0.9892
99,0.99395,0.9888
100,0.9950333333333333,0.9896
101,0.9944833333333334,0.9899
102,0.9933833333333333,0.9873
103,0.9941833333333333,0.9895
104,0.9947666666666667,0.9892
105,0.9950833333333333,0.989
106,0.9943,0.9894
107,0.99385,0.9888
108,0.9948333333333333,0.99
109,0.9947166666666667,0.9893
110,0.9953833333333333,0.9896
111,0.9943666666666666,0.9885
112,0.9951833333333333,0.9887
113,0.9947666666666667,0.9887
114,0.99535,0.9896
115,0.9951,0.9892
116,0.99465,0.9888
117,0.9946,0.9893
118,0.99475,0.9887
119,0.9939166666666667,0.9891
120,0.99555,0.9896
121,0.9942833333333333,0.989
122,0.9943166666666666,0.9877
123,0.9954166666666666,0.9899
124,0.9952666666666666,0.9893
125,0.9946333333333334,0.9893
126,0.9956166666666667,0.9892
127,0.9956166666666667,0.9891
128,0.9942833333333333,0.9893
129,0.9949,0.9892
130,0.9954333333333333,0.9896
131,0.99555,0.9892
132,0.9956833333333334,0.9894
133,0.9932666666666666,0.9877
134,0.99465,0.9889
135,0.99355,0.9876
136,0.9950166666666667,0.9895
137,0.99525,0.9888
138,0.995,0.9893
139,0.9945333333333334,0.9885
140,0.9948333333333333,0.9887
141,0.9951666666666666,0.9891
142,0.9953333333333333,0.9894
143,0.9931166666666666,0.9877
144,0.99265,0.9859
145,0.9951833333333333,0.9884
146,0.9951333333333333,0.9882
147,0.99595,0.9895
148,0.99525,0.989
149,0.9934,0.9869
150,0.9939333333333333,0.9881
151,0.9949666666666667,0.9882
152,0.9957666666666667,0.9901
153,0.99605,0.9897
154,0.9954333333333333,0.9894
155,0.9950666666666667,0.9896
156,0.9959833333333333,0.9884
157,0.9959833333333333,0.9892
158,0.9961,0.9899
159,0.9955666666666667,0.989
160,0.9952166666666666,0.9886
161,0.9956333333333334,0.9887
162,0.9957333333333334,0.9895
163,0.9947666666666667,0.9879
164,0.9962,0.9895
165,0.9960666666666667,0.9896
166,0.9955833333333334,0.9886
167,0.9961,0.9901
168,0.995,0.9888
169,0.9959666666666667,0.9892
170,0.9964833333333334,0.9903
171,0.9957666666666667,0.9893
172,0.9945333333333334,0.988
173,0.9954666666666667,0.9892
174,0.9944666666666667,0.9887
175,0.9960666666666667,0.9889
176,0.9967833333333334,0.9894
177,0.9966,0.9896
178,0.9961833333333333,0.9886
179,0.996,0.988
180,0.9965166666666667,0.9897
181,0.9943333333333333,0.988
182,0.9963666666666666,0.9895
183,0.9955,0.9894
184,0.9952166666666666,0.9894
185,0.9952166666666666,0.9887
186,0.9959,0.9889
187,0.9924333333333333,0.9857
188,0.9935,0.9875
189,0.99595,0.9883
190,0.9936333333333334,0.9872
191,0.9967,0.9889
192,0.9962333333333333,0.9894
193,0.9970166666666667,0.989
194,0.9930666666666667,0.9855
195,0.9967,0.9896
196,0.9962166666666666,0.9888
197,0.9965833333333334,0.9887
198,0.99475,0.9884
199,0.9963166666666666,0.9884
200,0.9966166666666667,0.9896
201,0.9955333333333334,0.9873
202,0.99645,0.9894
203,0.9967333333333334,0.9894
204,0.99505,0.9885
205,0.9964166666666666,0.9891
206,0.9962333333333333,0.9888
207,0.99645,0.9894
208,0.9950166666666667,0.9874
209,0.9968166666666667,0.99
210,0.99665,0.9901
211,0.9944666666666667,0.9876
212,0.9966333333333334,0.9886
213,0.9955,0.9878
214,0.99635,0.9889
215,0.9961,0.9883
216,0.9971666666666666,0.9895
217,0.9970833333333333,0.9887
218,0.9966166666666667,0.989
219,0.9970333333333333,0.9893
220,0.9964166666666666,0.9889
221,0.99655,0.9887
222,0.9946,0.9874
223,0.9969666666666667,0.9896
224,0.9946333333333334,0.9862
225,0.99695,0.9891
226,0.9968833333333333,0.9894
227,0.9969833333333333,0.9893
228,0.9965833333333334,0.9897
229,0.9957833333333334,0.9895
230,0.9948166666666667,0.9886
231,0.9960666666666667,0.9887
232,0.9966166666666667,0.9891
233,0.9963833333333333,0.9895
234,0.9968166666666667,0.9893
235,0.99605,0.9892
236,0.9964833333333334,0.9885
237,0.9970666666666667,0.9898
238,0.9968,0.9881
239,0.9928,0.9856
240,0.9955166666666667,0.9872
241,0.9940333333333333,0.9868
242,0.996,0.9892
243,0.9950166666666667,0.9883
244,0.99685,0.9889
245,0.9962,0.9877
246,0.9971166666666667,0.9901
247,0.9969333333333333,0.9897
248,0.9971,0.9898
249,0.99685,0.9891
250,0.9961666666666666,0.9886
251,0.9970166666666667,0.9885
252,0.99585,0.9895
253,0.996,0.9892
254,0.9964166666666666,0.9898
255,0.99645,0.988
256,0.9965,0.9896
257,0.9973,0.9905
258,0.9975166666666667,0.9906
259,0.9941166666666666,0.9874
260,0.9956833333333334,0.989
261,0.9970333333333333,0.9892
262,0.9966,0.9887
263,0.9974333333333333,0.9895
264,0.9974,0.9894
265,0.9979166666666667,0.9897
266,0.9961333333333333,0.9878
267,0.99715,0.9891
268,0.9966166666666667,0.9889
269,0.9977166666666667,0.9895
270,0.997,0.9886
271,0.9969666666666667,0.9888
272,0.9973,0.9886
273,0.9973666666666666,0.9892
274,0.9971666666666666,0.9895
275,0.9953666666666666,0.9864
276,0.99445,0.9859
277,0.9950166666666667,0.9867
278,0.99715,0.9891
279,0.9962333333333333,0.9871
280,0.9969833333333333,0.9881
281,0.9960833333333333,0.988
282,0.99505,0.9876
283,0.9963333333333333,0.989
284,0.9969833333333333,0.9885
285,0.9978166666666667,0.9894
286,0.9970833333333333,0.9884
287,0.9973166666666666,0.9894
288,0.9967666666666667,0.9888
289,0.9932333333333333,0.9859
290,0.9974166666666666,0.9898
291,0.9975833333333334,0.9897
292,0.9975166666666667,0.9895
293,0.99735,0.99
294,0.9976833333333334,0.9896
295,0.9974833333333334,0.9892
296,0.9976333333333334,0.9891
297,0.99785,0.9901
298,0.9969833333333333,0.9892
299,0.9973833333333333,0.989
300,0.9965166666666667,0.9879
