epoch,train,test
1,0.70005,0.7064
2,0.8867833333333334,0.8923
3,0.9109666666666667,0.9182
4,0.9291666666666667,0.9356
5,0.9394333333333333,0.9439
6,0.95205,0.9583
7,0.95975,0.9642
8,0.96485,0.9669
9,0.9684833333333334,0.9727
10,0.9702166666666666,0.9709
11,0.9742666666666666,0.9767
12,0.9741166666666666,0.9747
13,0.9777666666666667,0.9775
14,0.9786166666666667,0.9795
15,0.9794666666666667,0.9785
16,0.9790666666666666,0.9796
17,0.9821666666666666,0.9811
18,0.9831833333333333,0.9817
19,0.9839166666666667,0.9823
20,0.9845833333333334,0.9826
21,0.98415,0.9809
22,0.9857666666666667,0.9823
23,0.9858333333333333,0.9826
24,0.9867333333333334,0.9842
25,0.9861833333333333,0.9849
26,0.9872166666666666,0.9847
27,0.9885666666666667,0.9849
28,0.9884666666666667,0.9854
29,0.9885166666666667,0.9852
30,0.9892166666666666,0.9847
31,0.9875166666666667,0.985
32,0.9889333333333333,0.986
33,0.98925,0.9862
34,0.9907833333333333,0.9863
35,0.9892166666666666,0.9866
36,0.9906,0.9875
37,0.9892666666666666,0.9851
38,0.99215,0.9877
39,0.9897833333333333,0.9861
40,0.9920666666666667,0.9875
41,0.9918833333333333,0.9875
42,0.9924333333333333,0.9877
43,0.9918,0.9867
44,0.9934166666666666,0.9878
45,0.9926333333333334,0.9875
46,0.9928333333333333,0.9887
47,0.9926,0.9873
48,0.9933666666666666,0.9885
49,0.9929166666666667,0.988
50,0.9929833333333333,0.988
51,0.99355,0.9876
52,0.9942833333333333,0.9877
53,0.9934833333333334,0.9877
54,0.99435,0.9877
55,0.9948333333333333,0.9883
56,0.9943833333333333,0.9887
57,0.9953166666666666,0.9882
58,0.99485,0.9887
59,0.9949833333333333,0.9887
60,0.9955666666666667,0.9893
61,0.9952166666666666,0.9881
62,0.99455,0.9874
63,0.9957833333333334,0.9893
64,0.9956333333333334,0.9881
65,0.9961166666666667,0.9888
66,0.9937666666666667,0.9864
67,0.9959333333333333,0.9894
68,0.9954,0.9885
69,0.9945833333333334,0.9882
70,0.9961666666666666,0.9892
71,0.9957,0.9889
72,0.9967166666666667,0.9887
73,0.99705,0.9885
74,0.9957,0.988
75,0.9971666666666666,0.9892
76,0.9970333333333333,0.9889
77,0.9977666666666667,0.9897
78,0.997,0.9885
79,0.9974666666666666,0.9892
80,0.9971166666666667,0.989
81,0.9973333333333333,0.9897
82,0.9966666666666667,0.9889
83,0.9974166666666666,0.988
84,0.9976,0.9887
85,0.9977166666666667,0.9884
86,0.9976,0.9889
87,0.9977833333333334,0.9889
88,0.9981166666666667,0.989
89,0.9981333333333333,0.9896
90,0.9983333333333333,0.9892
91,0.9981666666666666,0.9889
92,0.9984166666666666,0.9892
93,0.9976333333333334,0.9896
94,0.998,0.9879
95,0.9984333333333333,0.9893
96,0.9978666666666667,0.989
97,0.9983333333333333,0.9888
98,0.9985666666666667,0.9889
99,0.9984166666666666,0.988
100,0.9984833333333333,0.9888
101,0.9983333333333333,0.9891
102,0.9986666666666667,0.988
103,0.9984166666666666,0.9894
104,0.99885,0.9893
105,0.9987166666666667,0.9891
106,0.9986,0.9882
107,0.99835,0.9889
108,0.9984833333333333,0.9887
109,0.9992833333333333,0.9892
110,0.9989833333333333,0.9889
111,0.9993,0.9889
112,0.9992,0.9889
113,0.99895,0.9897
114,0.9986833333333334,0.988
115,0.9992166666666666,0.9889
116,0.9991166666666667,0.9894
117,0.99945,0.9887
118,0.99925,0.9903
119,0.999,0.9892
120,0.9992666666666666,0.9887
121,0.9994,0.9885
122,0.9994666666666666,0.9893
123,0.9991333333333333,0.9898
124,0.9995166666666667,0.989
125,0.9995666666666667,0.9897
126,0.9995833333333334,0.9893
127,0.9993666666666666,0.9887
128,0.9994333333333333,0.9893
129,0.9995333333333334,0.9887
130,0.9996333333333334,0.9888
131,0.9996333333333334,0.9895
132,0.9994,0.9891
133,0.9996166666666667,0.9884
134,0.9996166666666667,0.9885
135,0.9995333333333334,0.9894
136,0.9996,0.9888
137,0.9996166666666667,0.9895
138,0.9996666666666667,0.9897
139,0.9991833333333333,0.9892
140,0.9997666666666667,0.9885
141,0.9996666666666667,0.9892
142,0.9995833333333334,0.9886
143,0.9996833333333334,0.9893
144,0.9993,0.9887
145,0.9995833333333334,0.9891
146,0.9997666666666667,0.9888
147,0.9997666666666667,0.9891
148,0.9997,0.9896
149,0.9998,0.9893
150,0.99975,0.9887
151,0.9997666666666667,0.9893
152,0.9997166666666667,0.9895
153,0.9998166666666667,0.989
154,0.9994666666666666,0.9887
155,0.99945,0.9894
156,0.9997333333333334,0.9894
157,0.9997,0.9888
158,0.9997,0.9886
159,0.9996166666666667,0.989
160,0.9998333333333334,0.9897
161,0.9998333333333334,0.9895
162,0.9998833333333333,0.9894
163,0.99985,0.9892
164,0.9998833333333333,0.9897
165,0.99985,0.9894
166,0.99985,0.9894
167,0.9999166666666667,0.9896
168,0.9997833333333334,0.9893
169,0.9999,0.9894
170,0.99985,0.9894
171,0.9999166666666667,0.9897
172,0.9998833333333333,0.989
173,0.9999166666666667,0.9888
174,0.9999,0.9893
175,0.9999666666666667,0.9893
176,0.9999166666666667,0.9895
177,0.99995,0.9897
178,0.9999166666666667,0.9897
179,0.9999166666666667,0.9891
180,0.99995,0.9897
181,0.9999166666666667,0.9894
182,0.9999666666666667,0.9893
183,0.9999666666666667,0.9892
184,0.9999833333333333,0.9892
185,0.9998833333333333,0.9888
186,0.9999333333333333,0.9893
187,0.9999166666666667,0.9888
188,0.9999,0.9891
189,0.9999166666666667,0.9893
190,0.9999666666666667,0.9891
191,0.9999333333333333,0.989
192,0.9999833333333333,0.9894
193,0.9999333333333333,0.9899
194,1.0,0.989
195,0.9999833333333333,0.9894
196,0.9999833333333333,0.9894
197,0.9999833333333333,0.9894
198,0.9999666666666667,0.989
199,0.9999666666666667,0.9891
200,1.0,0.9893
201,0.9999833333333333,0.9895
202,1.0,0.9889
203,1.0,0.9891
204,1.0,0.9891
205,1.0,0.9896
206,1.0,0.9892
207,0.9999833333333333,0.9895
208,1.0,0.9894
209,1.0,0.9896
210,1.0,0.9893
211,0.99985,0.9886
212,1.0,0.9895
213,0.9999666666666667,0.9893
214,1.0,0.9896
215,1.0,0.989
216,1.0,0.9891
217,1.0,0.9893
218,1.0,0.9895
219,0.9999833333333333,0.9891
220,0.9999833333333333,0.9891
221,1.0,0.9892
222,1.0,0.9888
223,1.0,0.9892
224,1.0,0.9892
225,1.0,0.989
226,0.9999833333333333,0.9896
227,1.0,0.9891
228,1.0,0.9895
229,1.0,0.9894
230,1.0,0.9893
231,1.0,0.9894
232,1.0,0.9895
233,0.9999666666666667,0.9889
234,1.0,0.9892
235,1.0,0.9897
236,1.0,0.9894
237,1.0,0.9889
238,1.0,0.9893
239,1.0,0.9893
240,1.0,0.9897
241,1.0,0.9889
242,1.0,0.9891
243,1.0,0.9895
244,1.0,0.9895
245,1.0,0.9896
246,1.0,0.9896
247,1.0,0.9894
248,1.0,0.9896
249,1.0,0.9896
250,1.0,0.9895
251,1.0,0.9891
252,0.9999833333333333,0.989
253,1.0,0.9891
254,1.0,0.9894
255,1.0,0.9894
256,1.0,0.9896
257,1.0,0.9892
258,1.0,0.9891
259,1.0,0.9893
260,1.0,0.9893
261,1.0,0.989
262,1.0,0.9893
263,1.0,0.9891
264,1.0,0.9895
265,0.9999833333333333,0.9894
266,1.0,0.9892
267,1.0,0.9895
268,1.0,0.9894
269,1.0,0.9896
270,1.0,0.9892
271,1.0,0.9893
272,1.0,0.9896
273,1.0,0.9893
274,1.0,0.9894
275,1.0,0.9896
276,1.0,0.9891
277,1.0,0.9895
278,1.0,0.9894
279,1.0,0.9894
280,1.0,0.9894
281,1.0,0.9892
282,1.0,0.9893
283,1.0,0.9894
284,1.0,0.9895
285,1.0,0.9893
286,1.0,0.9893
287,1.0,0.9894
288,1.0,0.9891
289,1.0,0.9895
290,1.0,0.9895
291,1.0,0.9891
292,1.0,0.9891
293,1.0,0.989
294,1.0,0.989
295,1.0,0.9895
296,1.0,0.9893
297,1.0,0.9892
298,1.0,0.9891
299,1.0,0.9893
300,1.0,0.9894
