epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.17118333333333333,0.1705,2.292285680770874,2.2920033931732178,0.4269626911581109,0.43068731502830815,0.3342880390561432,0.33405172413793105,0.23089598476940842,0.22311235433823173
2,0.3539833333333333,0.361,2.2792015075683594,2.2787270545959473,0.5960474491361195,0.6096153128467443,0.579540493342065,0.5933596318211702,0.46093178381946365,0.4725597451862245
3,0.44721666666666665,0.4542,2.2611029148101807,2.2603509426116943,0.6234029397408251,0.6255601212942674,0.6272470137216859,0.6402593741189738,0.50464309079255,0.5129827864712712
4,0.4977666666666667,0.5119,2.2317707538604736,2.230476140975952,0.6437578797018535,0.6532498864271288,0.6127993105853868,0.6299532365247354,0.5195449716665373,0.5318970031239176
5,0.5331,0.5502,2.1782870292663574,2.1760735511779785,0.6618669969352071,0.6735257906099706,0.5860495795086023,0.6040843214756259,0.509993909563779,0.5247734455912619
6,0.5720333333333333,0.5881,2.067502498626709,2.0634145736694336,0.69596896992677,0.6806846377677792,0.5720333333333333,0.6456960913482652,0.5203962436402568,0.5867958383265868
7,0.6316,0.6515,1.8153489828109741,1.8068116903305054,0.7193147830044389,0.7314611738070518,0.6316,0.6515,0.5967824189168105,0.6185378390332414
8,0.70755,0.7217,1.3618147373199463,1.3448853492736816,0.7367583510353272,0.7503810076944833,0.70755,0.7217,0.684524270813493,0.7003912547174578
9,0.7714333333333333,0.7818,0.9428417682647705,0.9203392863273621,0.7771888322921701,0.7890661012363003,0.7714333333333333,0.7818,0.7658746063294214,0.7767850624155194
10,0.8118666666666666,0.8244,0.7119887471199036,0.6885908246040344,0.816409353145887,0.8287241336638054,0.8118666666666666,0.8244,0.8107927901882124,0.8229280179608844
11,0.838,0.8485,0.5895423293113708,0.5679709315299988,0.8403447983396032,0.8509424227547172,0.838,0.8485,0.8380100024188161,0.8482443203634285
12,0.8560333333333333,0.8645,0.5147980451583862,0.49454161524772644,0.8563323026212181,0.8651184785391756,0.8560333333333333,0.8645,0.8556749000386968,0.86400346397213
13,0.8680333333333333,0.876,0.4674188196659088,0.445584774017334,0.8684819116004111,0.8763645134795903,0.8680333333333333,0.876,0.8678476267360331,0.8757928744843498
14,0.8741833333333333,0.8806,0.4323740303516388,0.4113558232784271,0.8770226224720568,0.8827230034618174,0.8741833333333333,0.8806,0.8744317668944762,0.8805890639539037
