epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.1059,0.1045,2.2887980937957764,2.2885255813598633,0.3489049913054666,0.36410196214877594,0.21708233686368295,0.26243093922651933,0.06481994792625674,0.08466229962064378
2,0.25605,0.2579,2.2684993743896484,2.268049478530884,0.6101279196011777,0.5690567660105845,0.3734140294589471,0.4319209512644448,0.26446793691690723,0.3106063498388541
3,0.4341333333333333,0.4398,2.23801851272583,2.2372987270355225,0.6983553900050403,0.7074023813881093,0.4810430478863876,0.48725902947041877,0.40808555357088144,0.4135729069705933
4,0.61405,0.6162,2.1830265522003174,2.1816794872283936,0.7203463460984295,0.7171762349658758,0.61405,0.6162,0.5589769487655705,0.5590081021907003
5,0.68115,0.6806,2.0671403408050537,2.064392328262329,0.7473512715094718,0.7498163813725979,0.68115,0.6806,0.6471970572386296,0.6444825604473187
6,0.7121,0.7206,1.7931225299835205,1.786308765411377,0.7499118803983347,0.7568391823243226,0.7121,0.7206,0.6817147917602084,0.6905726658593973
7,0.7463,0.7592,1.267866611480713,1.2514324188232422,0.7630286184981252,0.7763604770594132,0.7463,0.7592,0.7294007957746985,0.7421546983960635
8,0.7976833333333333,0.8083,0.8464862704277039,0.8242103457450867,0.7999569026662839,0.810540371463916,0.7976833333333333,0.8083,0.7943014914232537,0.8047256108672366
9,0.82465,0.8342,0.653070330619812,0.6315398216247559,0.8277560823205715,0.8376251150380356,0.82465,0.8342,0.8233510092048433,0.8325084085032489
10,0.8456333333333333,0.854,0.5562645792961121,0.5339632034301758,0.8486145430508203,0.8560314002023212,0.8456333333333333,0.854,0.8454871563026995,0.8535549628740365
11,0.8624666666666667,0.8703,0.4945237636566162,0.4745214283466339,0.8623009412313103,0.8700225341283494,0.8624666666666667,0.8703,0.8621279952398018,0.8697978127324429
12,0.8685666666666667,0.8759,0.4573192000389099,0.4363909065723419,0.8706424944257114,0.877664523819484,0.8685666666666667,0.8759,0.8685252202456964,0.8756453938681225
13,0.8771333333333333,0.8835,0.4266173243522644,0.40700680017471313,0.878911693789776,0.8848280552148351,0.8771333333333333,0.8835,0.8771614196090132,0.8832857620126803
14,0.8826166666666667,0.8891,0.40503057837486267,0.3846648931503296,0.8841023195068559,0.8903052541794169,0.8826166666666667,0.8891,0.8827019745141061,0.8889365972612515
15,0.8862833333333333,0.8907,0.38826292753219604,0.3716655373573303,0.8864674130732563,0.8911260182429817,0.8862833333333333,0.8907,0.8860619886291852,0.890404217692987
16,0.8897166666666667,0.8959,0.3736203908920288,0.35516324639320374,0.8898310307455393,0.8961480062481871,0.8897166666666667,0.8959,0.8894238142325194,0.8955785546718235
17,0.89525,0.9037,0.35572749376296997,0.33593958616256714,0.8954516960918013,0.9037976799798838,0.89525,0.9037,0.8951922798706707,0.9035719623062
18,0.8965666666666666,0.9039,0.3451041281223297,0.3255619704723358,0.8970715471982221,0.9043758329866989,0.8965666666666666,0.9039,0.896449944467867,0.9036707483113794
19,0.89965,0.9075,0.33646565675735474,0.3162700831890106,0.8995726920626601,0.9075740943202961,0.89965,0.9075,0.8992983425525993,0.9070831519982967
20,0.9029333333333334,0.9117,0.32431676983833313,0.3045441508293152,0.9027758614917145,0.9116929888787181,0.9029333333333334,0.9117,0.9027181926670498,0.9113918625827375
21,0.903,0.9111,0.32558324933052063,0.3040269911289215,0.9052164645623837,0.9131027038147497,0.903,0.9111,0.9031014353273855,0.9112161288953275
22,0.9083166666666667,0.9161,0.3062264919281006,0.2877325415611267,0.9081030901693237,0.9161513421154348,0.9083166666666667,0.9161,0.908039474521839,0.9158036437316459
23,0.90955,0.9166,0.3003120422363281,0.28303277492523193,0.9099230603594249,0.9170941124487663,0.90955,0.9166,0.9093488209302242,0.916313649315284
24,0.9109166666666667,0.9166,0.29608407616615295,0.27826595306396484,0.9109000688569825,0.9167912935872118,0.9109166666666667,0.9166,0.9104486627971047,0.9161629721873482
25,0.9139833333333334,0.9219,0.28618288040161133,0.26732337474823,0.9140813289682159,0.9220737838365056,0.9139833333333334,0.9219,0.9137922691567053,0.9216417785451347
26,0.91555,0.9202,0.2823105454444885,0.2671654224395752,0.9157136835109213,0.9207306256615253,0.91555,0.9202,0.9151913283151447,0.9198049845342766
27,0.9189833333333334,0.9264,0.27126288414001465,0.25305065512657166,0.9191620797282143,0.9264469340006095,0.9189833333333334,0.9264,0.9189372457547317,0.9262230113381483
28,0.9227,0.9299,0.2616608142852783,0.24435800313949585,0.9227043426631372,0.9300073955677103,0.9227,0.9299,0.9226201145185762,0.9297701971857345
29,0.9226333333333333,0.9296,0.2602769136428833,0.24303041398525238,0.9231242301384402,0.9300854558989949,0.9226333333333333,0.9296,0.9226525523295435,0.9294888957608702
30,0.923,0.9311,0.25399988889694214,0.23754778504371643,0.9233086671944011,0.9315671437363586,0.923,0.9311,0.9228982210788644,0.9309329105068976
31,0.92655,0.9342,0.24583160877227783,0.22970420122146606,0.9266605078477784,0.9343659446542509,0.92655,0.9342,0.9265039396418794,0.9341053179189137
32,0.927,0.931,0.2423752397298813,0.22684155404567719,0.9273806721415082,0.9316592152093648,0.927,0.931,0.9268371822625687,0.9308461769048164
33,0.9302333333333334,0.9391,0.23309478163719177,0.214965358376503,0.9303020176064554,0.9391361585268864,0.9302333333333334,0.9391,0.9301660994048122,0.939036547898955
34,0.9324666666666667,0.9402,0.22699591517448425,0.21148598194122314,0.9324735928216177,0.9404072156331282,0.9324666666666667,0.9402,0.9324269442799248,0.940159107513925
35,0.9325,0.9387,0.22581985592842102,0.21115823090076447,0.9331359024515568,0.9393207316221406,0.9325,0.9387,0.9325273774045525,0.9386790725644373
36,0.9356666666666666,0.9428,0.21668264269828796,0.20220953226089478,0.9357490833854826,0.9431024246603024,0.9356666666666666,0.9428,0.9356079706109606,0.9427583866351879
37,0.9371666666666667,0.9432,0.21090668439865112,0.19624210894107819,0.9372419932866888,0.9435357629427737,0.9371666666666667,0.9432,0.9371353700316841,0.9431936547638947
38,0.9383333333333334,0.9447,0.2074996531009674,0.1935659945011139,0.9385109936410593,0.9450667882942072,0.9383333333333334,0.9447,0.9383484247518055,0.9446803266875846
39,0.9375333333333333,0.9434,0.20889505743980408,0.19338810443878174,0.9382352081049306,0.9439426199008789,0.9375333333333333,0.9434,0.9376140682967891,0.943404162055945
40,0.941,0.9475,0.1978815495967865,0.18247368931770325,0.9409885156092176,0.9475979010760901,0.941,0.9475,0.9409261753756717,0.9474488244763557
41,0.9431833333333334,0.9482,0.1932477056980133,0.17932365834712982,0.9433335706948616,0.94845580523093,0.9431833333333334,0.9482,0.9431592475644114,0.9481775858317709
42,0.94275,0.9492,0.1908823847770691,0.17709822952747345,0.9429759923052855,0.9494373924815931,0.94275,0.9492,0.9427492405418431,0.9491929010707694
43,0.9451166666666667,0.952,0.18508276343345642,0.1718379110097885,0.9450671782798448,0.9521234244784713,0.9451166666666667,0.952,0.9450415560800473,0.9519380994703728
44,0.9457166666666666,0.9509,0.181671142578125,0.16771458089351654,0.9458750289691483,0.9510844417256589,0.9457166666666666,0.9509,0.945704364807378,0.9508683717497813
45,0.948,0.9539,0.1759779155254364,0.162094846367836,0.9479498889562646,0.9539224903979527,0.948,0.9539,0.9479394066605515,0.9538554040306306
46,0.9480666666666666,0.9523,0.1746041476726532,0.16286952793598175,0.9481706246523053,0.9525970713539362,0.9480666666666666,0.9523,0.9480251447792748,0.9522706751662731
47,0.9475666666666667,0.9535,0.17527998983860016,0.16049854457378387,0.9479858121512837,0.9537825578662039,0.9475666666666667,0.9535,0.9475918721290797,0.9534830940897585
48,0.94985,0.9541,0.16784454882144928,0.1557798832654953,0.9499920038524235,0.9543031028464871,0.94985,0.9541,0.9497964791900728,0.9540454517475089
49,0.9504833333333333,0.9541,0.16620242595672607,0.15494248270988464,0.9507981959762947,0.9544143046683868,0.9504833333333333,0.9541,0.9505049690989371,0.9541087401481249
50,0.9524666666666667,0.9556,0.16014976799488068,0.14853806793689728,0.9525553023532655,0.9557837574304627,0.9524666666666667,0.9556,0.9524244032753207,0.9555511714725275
51,0.9515666666666667,0.9554,0.1626845747232437,0.15126189589500427,0.9518569082594525,0.9558175450450647,0.9515666666666667,0.9554,0.9514826179482477,0.955328409382433
52,0.95405,0.9593,0.15497666597366333,0.1405753493309021,0.9541918395604065,0.9593403515255384,0.95405,0.9593,0.9540442098265104,0.959279700954703
53,0.9554666666666667,0.96,0.15122896432876587,0.1399090588092804,0.9554502332533523,0.9601707097197661,0.9554666666666667,0.96,0.955410426480359,0.959967159333468
54,0.9544666666666667,0.9584,0.15239231288433075,0.13979238271713257,0.9549732174903834,0.958852752262025,0.9544666666666667,0.9584,0.9545620824278285,0.9584392355861538
55,0.9553,0.9598,0.15111029148101807,0.13836565613746643,0.9556564167906496,0.9601767663623383,0.9553,0.9598,0.9552796988684182,0.9597762699618897
56,0.9577,0.9623,0.1427047848701477,0.13153322041034698,0.9577033029626848,0.9623499488555188,0.9577,0.9623,0.9576605007176686,0.9622701749286312
