epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.2632833333333333,0.2558,2.2747912406921387,2.274749279022217,0.47218270465137474,0.4544163726296738,0.32696526886616717,0.3165841584158416,0.24323164638837685,0.23720355005869218
2,0.43348333333333333,0.4279,2.242234230041504,2.241718053817749,0.624117078674365,0.6271413485077473,0.47653859543047694,0.46980676328502413,0.43756365181676893,0.4297968057781258
3,0.5651833333333334,0.5672,2.184042453765869,2.182650089263916,0.6532207382467891,0.6544389296486081,0.6213195551402554,0.6227492314448836,0.5742814724740326,0.5750912704385062
4,0.6211333333333333,0.6353,2.0563318729400635,2.0527634620666504,0.6671728088398322,0.6755036393438646,0.682826728228806,0.6975186649099693,0.646756486823966,0.6604305776667261
5,0.65715,0.6724,1.7622337341308594,1.7536648511886597,0.7041347014040333,0.7141443754315544,0.65715,0.6724,0.6220540051503393,0.6375768245728525
6,0.72045,0.7356,1.2731891870498657,1.254271388053894,0.7415541211402604,0.7520034128760632,0.72045,0.7356,0.7075916485847653,0.7233943942558919
7,0.7734166666666666,0.7838,0.8871161937713623,0.8666291236877441,0.7799084727779324,0.789374347939681,0.7734166666666666,0.7838,0.7671189015589904,0.7777692792248566
8,0.8127,0.8222,0.6853023171424866,0.6634519696235657,0.81444165435148,0.8239469248738102,0.8127,0.8222,0.8106182703573974,0.8200778032925565
9,0.8411166666666666,0.8494,0.5765234231948853,0.5570964813232422,0.8407758662424843,0.8493605658435281,0.8411166666666666,0.8494,0.8400653929120075,0.8482988275536941
10,0.8565833333333334,0.8638,0.5123018622398376,0.49205800890922546,0.8582481955992434,0.8657466560927651,0.8565833333333334,0.8638,0.8566407648396904,0.8638354191651024
11,0.8649666666666667,0.872,0.4709751605987549,0.452467679977417,0.8660233182711854,0.8728317227042999,0.8649666666666667,0.872,0.86489920819598,0.8717646844656387
12,0.8729166666666667,0.8784,0.43860432505607605,0.41853007674217224,0.8726159628806552,0.8783234616174809,0.8729166666666667,0.8784,0.8724025052120017,0.8777688914699349
13,0.8768666666666667,0.8812,0.41757115721702576,0.39943981170654297,0.877142230470178,0.8814011862462605,0.8768666666666667,0.8812,0.8763810549666993,0.8806149880015122
14,0.8824333333333333,0.8875,0.39889785647392273,0.3790009617805481,0.8827866489145995,0.8878093154008991,0.8824333333333333,0.8875,0.8821450751737391,0.8872068136068872
