epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.17435,0.1733,2.2922821044921875,2.291996955871582,0.4244952305992607,0.4238746708487577,0.3404719283970708,0.33953761755485895,0.2406953669674552,0.23318402432752666
2,0.3513,0.3587,2.279195547103882,2.278707504272461,0.5943800786334144,0.6088309812099213,0.575147347740668,0.5895792241946088,0.45625599438852155,0.46951362752923786
3,0.4475,0.457,2.2610793113708496,2.2603116035461426,0.618646484780208,0.6232126650654255,0.6276444049650529,0.6442063715816183,0.5040518910668814,0.5157751548791534
4,0.49556666666666666,0.5106,2.23170804977417,2.2303946018218994,0.641218294615889,0.6507419407288458,0.6100908960338142,0.6283534334235786,0.5172603177424103,0.5304056216234784
5,0.5276666666666666,0.5439,2.1781156063079834,2.1758806705474854,0.6614011598520602,0.6735800431862935,0.5800765862328001,0.597167325428195,0.5062929245252044,0.5206013510381748
6,0.5726166666666667,0.59,2.066958427429199,2.0628180503845215,0.6978193823342871,0.6830979452196899,0.5726166666666667,0.6477821695213,0.5221195406532148,0.590101322162609
7,0.6339666666666667,0.654,1.8144474029541016,1.8058445453643799,0.7186973244694783,0.7319476724514358,0.6339666666666667,0.654,0.5992919402911321,0.6212999928562881
8,0.7072,0.7218,1.3605875968933105,1.3436163663864136,0.7366715800490906,0.7501532231636092,0.7072,0.7218,0.683413670699286,0.6999050190266507
9,0.77175,0.7831,0.9421424269676208,0.9195393323898315,0.7772275213551295,0.7898725011330789,0.77175,0.7831,0.7663645702970169,0.7783224318961705
10,0.81005,0.8213,0.7124941349029541,0.6890050172805786,0.815841035140844,0.8274199794112131,0.81005,0.8213,0.8085872110651069,0.819389275421592
11,0.83825,0.8489,0.5889123678207397,0.5678064227104187,0.840278142044774,0.8513050331367981,0.83825,0.8489,0.8381170677347212,0.8485618540346382
12,0.8550666666666666,0.8638,0.5157083868980408,0.4956006407737732,0.855905090281147,0.8649828076422931,0.8550666666666666,0.8638,0.8547305240045556,0.8632652022420034
13,0.8676166666666667,0.8756,0.46744436025619507,0.4456256330013275,0.8680575210685264,0.8759380029139929,0.8676166666666667,0.8756,0.8674469825954344,0.8753880665654918
