epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.10538333333333333,0.1045,2.2889580726623535,2.288701057434082,0.3182613897018686,0.5428558479155929,0.2160232319781346,0.26243093922651933,0.06404934163983923,0.08532644212772492
2,0.26675,0.2711,2.268676519393921,2.268242359161377,0.6063316757839028,0.5817631163002239,0.38901852121919206,0.45402780103835205,0.2702385579896537,0.32082363808775716
3,0.42773333333333335,0.4323,2.2384443283081055,2.2377634048461914,0.700657638676438,0.7084168364169476,0.4739515041829027,0.47894970086417016,0.40530701634548605,0.4091674346918895
4,0.6015,0.6056,2.1845157146453857,2.1832432746887207,0.7192637304146041,0.7145739752736032,0.6015,0.6056,0.5428159798944389,0.5461705619575605
5,0.6839666666666666,0.6852,2.070493698120117,2.067782402038574,0.7468657555987666,0.750667786475672,0.6839666666666666,0.6852,0.6496542075851263,0.6489110018952421
6,0.7102333333333334,0.719,1.8000515699386597,1.79340660572052,0.7500848597846232,0.756616920164716,0.7102333333333334,0.719,0.6800199732226554,0.688624011384107
7,0.7468,0.7593,1.276256799697876,1.259942889213562,0.762891544088731,0.7761979897871157,0.7468,0.7593,0.7307114746608449,0.7427705869022814
8,0.79775,0.809,0.8511656522750854,0.828994631767273,0.7989373885951014,0.8101198496969935,0.79775,0.809,0.7946779520495134,0.8056880729286514
9,0.8244833333333333,0.8338,0.6552972793579102,0.6342836618423462,0.8274701687266219,0.8369430251613278,0.8244833333333333,0.8338,0.8232993201344228,0.8321802809405173
10,0.8457166666666667,0.8539,0.5569975972175598,0.5350779891014099,0.848415231984154,0.8556056898309198,0.8457166666666667,0.8539,0.8455806000268258,0.8534406489938585
11,0.86225,0.8697,0.49574872851371765,0.4758068323135376,0.86209628353574,0.8694130124395392,0.86225,0.8697,0.8619573581775731,0.8692786581743479
12,0.8681833333333333,0.8764,0.45764127373695374,0.4371241331100464,0.8705940193446248,0.8784007121753519,0.8681833333333333,0.8764,0.8681855397648461,0.8761842699272882
13,0.8766833333333334,0.8838,0.42719295620918274,0.4073341488838196,0.8788060332251999,0.8852967542640731,0.8766833333333334,0.8838,0.8767807061605014,0.8836243635722305
14,0.8828833333333334,0.8903,0.40537866950035095,0.38513413071632385,0.8843842187345635,0.8915152157842878,0.8828833333333334,0.8903,0.8829632113360932,0.890136191907367
15,0.8868166666666667,0.8919,0.3875218629837036,0.3705311417579651,0.8871277791161377,0.892322361956766,0.8868166666666667,0.8919,0.8866331575082816,0.891607880296747
16,0.8881333333333333,0.8953,0.3774675130844116,0.3585968017578125,0.8886206262805569,0.8959183792203538,0.8881333333333333,0.8953,0.8877885920025578,0.8949638541922499
17,0.8958,0.9029,0.3562692403793335,0.33635076880455017,0.89626936437597,0.903267820825104,0.8958,0.9029,0.8958072117712476,0.9028309386249933
18,0.8962333333333333,0.904,0.3458511531352997,0.32596611976623535,0.8969547780432222,0.9045617228033972,0.8962333333333333,0.904,0.8961466914417576,0.9038157015380781
19,0.9002333333333333,0.9081,0.3354787230491638,0.3156355321407318,0.9000460038471239,0.9080480705560814,0.9002333333333333,0.9081,0.8998870864366648,0.9076810731810389
20,0.90315,0.9117,0.3241015374660492,0.3047613501548767,0.9029948176557747,0.9116873527789893,0.90315,0.9117,0.9029146147507928,0.9113670160131262
21,0.9036333333333333,0.9115,0.3240407407283783,0.3030129373073578,0.9055985604592262,0.913306729445047,0.9036333333333333,0.9115,0.9036954008962796,0.9115962465258688
22,0.9088333333333334,0.9159,0.30529147386550903,0.28772997856140137,0.9085631271040762,0.9158283320019044,0.9088333333333334,0.9159,0.9085553752606312,0.9156021926506741
23,0.9104833333333333,0.9166,0.2995857298374176,0.2831798493862152,0.9105956038008504,0.9169315928175212,0.9104833333333333,0.9166,0.9102382924537975,0.9162886950614874
24,0.91225,0.9182,0.2936539053916931,0.2759125828742981,0.9121797785771786,0.9183508970915764,0.91225,0.9182,0.9118653742103716,0.9178674892376896
25,0.9137666666666666,0.9221,0.28618717193603516,0.2672147750854492,0.9138644332046911,0.9222905316292347,0.9137666666666666,0.9221,0.9135479078785661,0.9218296231130886
